,0
430,Queluz Asset Management
431,BRZ Investimentos Ltda.
432,Ativa S/A CTCV
433,JGP Gestao de Recursos Ltda.
434,"TimesSquare Capital Management, LLC"
435,Norges Bank Investment Management (NBIM)
436,Seligson & Co Rahastoyhti__ Oyj
437,Daiwa Asset Management (Singapore) Ltd.
438,Mirae Asset Global Investments (Brazil)
439,Infinity Asset Management Administracao de Recursos Ltda
440,Modal Asset Management
441,Lanx Capital
442,Rio Bravo Investimentos S.A. DTVM
443,Kinea Investimentos Ltda.
444,Fundamental Investimentos Ltda.
445,TROPICO Latin America Investments
446,Portopar DTVM Ltda
447,Orama Gestao De Recursos Ltda
448,Security Kapitalanlage AG
449,Ventor Investimentos Ltda.
450,Sydinvest
451,Tredje AP Fonden
452,AGF Investments LLC
453,"Agincourt Capital Management, L.L.C."
454,Ruffer (Asia) Limited
455,"Barrow, Hanley, Mewhinney & Strauss, LLC"
456,Manulife Investment Management (Singapore) Pte. Ltd.
457,Manulife Investment Management (US) LLC
458,Florida State Board of Administration
459,Western Asset Management Company DTVM Limitada
460,Santander Brasil Asset Management DTVM S.A.
461,AZ Quest Investimentos Ltda
462,"International Value Advisers, LLC"
463,Zero Conflict Wealth Management Ltda.
464,InvestPort Consultoria e Gestao de Recursos
465,XP Asset Management
466,BTG Pactual WM Gestao de Recursos Ltda.
467,Votorantim Asset Management DTVM Ltda.
468,Goldman Sachs Asset Management Brasil Ltda.
469,Rio Performance Gestao de Recursos Ltda.
470,EOS Investimentos Ltda.
471,RAM Active Investments S.A.
472,MDO Management Company S.A.
473,Claritas Administracao de Recursos Ltda.
474,Degroof Petercam Asset Management
475,"Elite CCVM, Ltda."
476,Tavola Capital Gestao de Recursos Ltda
477,Galt Capital
478,Easynvest - Titulo Corretora de Valores SA
479,Sarasin & Partners LLP
480,Berenberg Bank (Asset Management)
481,Vestcor Investment Management Corporation
482,"QS Investors, LLC"
483,BlackRock Brasil Gestora de Investimentos Ltda.
484,Geracao Futuro
485,Fundacao Petrobras de Seguridade Social
486,Prudential Financial Securities Invt.Trust Enterprise Ltd.
487,Andbank Asset Management S.A.
488,"Birmingham Merchant, S.A."
489,Russell Investments Canada Limited
490,Russell Investments Limited
491,Bozano Investimentos
492,Sparinvest S.A.
493,"Strategic Asset Management, Ltd."
494,Pertubuhan Keselamatan Sosial
495,Ostrum Asset Management
496,Kuok Brothers Sdn. Bhd.
497,ENISO Partners AG
498,Kumpulan Wang Persaraan (Diperbadankan)
499,"Scotia Fondos, S.A. de C.V."
500,Robeco Hong Kong Limited
501,Russell Investments
502,"Silchester International Investors, L.L.P."
503,Kapitalo Investimentos Ltda
504,Brasil Plural Gestao de Recursos Ltda.
505,Sawit Kinabalu Sdn. Bhd.
506,Osmosis Investment Management LLP
507,KBI Global Investors Ltd
508,Alquity Investment Management Ltd.
509,BRAM - Bradesco Asset Management S.A. DTVM
510,Vinci Partners
511,NCH Capital Inc.
512,Goodhart Partners LLP
513,APG Asset Management N.V.
514,Controlfida (Suisse) SA
515,Hermes BPK Partners LLP
516,Amundi Asset Management Singapore Ltd.
517,Western Asset Management Company (Asia)
518,Nippon Life Global Investors Singapore Limited
519,Glovista Investments LLC
520,ARIA Capital Management
521,Principal Global Investors (Equity)
522,State Street Global Advisors (US)
523,"T. Rowe Price International, Inc. (Argentina)"
524,Proteus Investimentos Ltda.
525,"Grau Gestao de Ativos, Ltda."
526,Daycoval Asset Management
527,GTI Administracao de Recursos LTDA
528,Quatrinvest
529,HSBC Global Asset Management (Brazil)
530,Pavarini & Opice Gestao de Ativos Ltda.
531,Icatu Vanguarda Administracao de Recursos Ltda.
532,Administradora General de Fondos SURA S.A.
533,Oceana Investimentos
534,T. Rowe Price International (UK) Ltd.
535,JPMorgan Private Bank (United States)
536,Constancia Investimentos Ltda
537,Ita__ Administradora General de Fondos S.A.
538,BetaShares Capital Ltd.
